Date;Sold
2013-01;475
2013-02;506
2013-03;563
2013-04;458
2013-05;549
2013-06;454
2013-07;563
2013-08;472
2013-09;536
2013-10;490
2013-11;526
2013-12;621
2014-01;444
2014-02;440
2014-03;475
2014-04;408
2014-05;470
2014-06;460
2014-07;483
2014-08;584
2014-09;671
2014-10;523
2014-11;560
2014-12;742
2015-01;481
2015-02;487
2015-03;645
2015-04;758
2015-05;535
2015-06;571
2015-07;615
2015-08;685
2015-09;608
2015-10;653
2015-11;665
2015-12;934
2016-01;425
2016-02;516
2016-03;649
2016-04;558
2016-05;656
2016-06;697
2016-07;507
2016-08;725
2016-09;802
2016-10;963
2016-11;856
2016-12;943
2017-01;625
2017-02;649
2017-03;835
2017-04;745
2017-05;676
2017-06;574
2017-07;751
2017-08;908
2017-09;974
2017-10;767
2017-11;791
2017-12;801
2018-01;611
2018-02;699
2018-03;783
2018-04;646
2018-05;905
2018-06;766
2018-07;963
2018-08;868
2018-09;1021
2018-10;1043
2018-11;703
2018-12;975
2019-01;556
2019-02;575
2019-03;665
2019-04;680
2019-05;555
2019-06;415
2019-07;744
2019-08;936
2019-09;1091
2019-10;1000
2019-11;959
2019-12;1266
2020-01;729
2020-02;748
2020-03;702
2020-04;335
2020-05;422
2020-06;1325
2020-07;1468
2020-08;1211
2020-09;926
2020-10;762
2020-11;680
2020-12;695
2021-01;461
2021-02;598
2021-03;650
2021-04;572
2021-05;419
2021-06;929
2021-07;703
2021-08;1077
2021-09;1014
2021-10;964
2021-11;1240
