Date;Sold
2013-01;18235
2013-02;18971
2013-03;21570
2013-04;20791
2013-05;22030
2013-06;19357
2013-07;20668
2013-08;14930
2013-09;18514
2013-10;14866
2013-11;20935
2013-12;23922
2014-01;17489
2014-02;17121
2014-03;17718
2014-04;17130
2014-05;17852
2014-06;19252
2014-07;17116
2014-08;17349
2014-09;20923
2014-10;17240
2014-11;19566
2014-12;26698
2015-01;16587
2015-02;17690
2015-03;21911
2015-04;23197
2015-05;21576
2015-06;21612
2015-07;17182
2015-08;18873
2015-09;15994
2015-10;18468
2015-11;20082
2015-12;26595
2016-01;15526
2016-02;18142
2016-03;21993
2016-04;19537
2016-05;21638
2016-06;20406
2016-07;11903
2016-08;17503
2016-09;17040
2016-10;21094
2016-11;22499
2016-12;25147
2017-01;15807
2017-02;17783
2017-03;22443
2017-04;20066
2017-05;20287
2017-06;17970
2017-07;18083
2017-08;18696
2017-09;23471
2017-10;20906
2017-11;19939
2017-12;22932
2018-01;16336
2018-02;16247
2018-03;18714
2018-04;17414
2018-05;20061
2018-06;20547
2018-07;19503
2018-08;15262
2018-09;20216
2018-10;27156
2018-11;16058
2018-12;26541
2019-01;13455
2019-02;14462
2019-03;19140
2019-04;17148
2019-05;17296
2019-06;10060
2019-07;17276
2019-08;15881
2019-09;23265
2019-10;24451
2019-11;24924
2019-12;40317
2020-01;21251
2020-02;22662
2020-03;19846
2020-04;6113
2020-05;7640
2020-06;28799
2020-07;39432
2020-08;30292
2020-09;25399
2020-10;22270
2020-11;21158
2020-12;20236
2021-01;13666
2021-02;15929
2021-03;22007
2021-04;19260
2021-05;11356
2021-06;25833
2021-07;18884
2021-08;24286
2021-09;28229
2021-10;26041
2021-11;31706
