Date;Sold
2013-01;8298
2013-02;8277
2013-03;9542
2013-04;8751
2013-05;9371
2013-06;8160
2013-07;9034
2013-08;6960
2013-09;8128
2013-10;6737
2013-11;9477
2013-12;11118
2014-01;7644
2014-02;7881
2014-03;8235
2014-04;7567
2014-05;7707
2014-06;9215
2014-07;7917
2014-08;8017
2014-09;9447
2014-10;7869
2014-11;8828
2014-12;12609
2015-01;7293
2015-02;7702
2015-03;9808
2015-04;10652
2015-05;10246
2015-06;9760
2015-07;7591
2015-08;9070
2015-09;7555
2015-10;9386
2015-11;9803
2015-12;13625
2016-01;7036
2016-02;8277
2016-03;10216
2016-04;8922
2016-05;11221
2016-06;9880
2016-07;5420
2016-08;8174
2016-09;7985
2016-10;9996
2016-11;10721
2016-12;12476
2017-01;7774
2017-02;8514
2017-03;9972
2017-04;9380
2017-05;9129
2017-06;8656
2017-07;8526
2017-08;9092
2017-09;12690
2017-10;10321
2017-11;9166
2017-12;11512
2018-01;7492
2018-02;7507
2018-03;8774
2018-04;8063
2018-05;9222
2018-06;9923
2018-07;9089
2018-08;6981
2018-09;9501
2018-10;13978
2018-11;6977
2018-12;13723
2019-01;6019
2019-02;6365
2019-03;8453
2019-04;7057
2019-05;7363
2019-06;3813
2019-07;6709
2019-08;6001
2019-09;8347
2019-10;8988
2019-11;8494
2019-12;14772
2020-01;6599
2020-02;7326
2020-03;6439
2020-04;2022
2020-05;2546
2020-06;8253
2020-07;10429
2020-08;8103
2020-09;7099
2020-10;6401
2020-11;6177
2020-12;6391
2021-01;3746
2021-02;4510
2021-03;6317
2021-04;5232
2021-05;3153
2021-06;6772
2021-07;4854
2021-08;6375
2021-09;7508
2021-10;6672
2021-11;8314
