tarih;brFiyat;fiyatEn;istihdam;issizlik;grAltin;usdKuru;konutKrFay;vadeliMevFay;yurticiUsdMevd;tufe;TGE;satisAd
2014-01;-0.685179961;1.041666667;42.80;10.50;9.492974954;7.73;11.30;9.15;0.075331749;1.97807956;91.5;7644.00
2014-02;1.002394383;1.374570447;43.40;10.50;2.990403928;-0.18;13.03;10.68;4.699623625;0.428192173;89.2;7881.00
2014-03;1.217454195;1.86440678;45.20;9.40;3.055254605;0.23;13.51;11.24;3.813954775;1.125607572;92.4;8235.00
2014-04;3.227343099;0.998336106;45.70;8.80;-6.066021867;-4.07;13.52;11.05;0.773123793;1.344970065;97.4;7567.00
2014-05;1.826642055;1.153212521;46.20;8.40;-2.965864578;-1.72;12.94;10.60;-0.568951504;0.39522403;95.1;7707.00
2014-06;2.768231429;1.791530945;47.40;9.00;1.614763552;1.19;12.29;10.30;-2.916860504;0.310790651;93.5;9215.00
2014-07;2.631192121;2.56;45.80;9.70;1.668558456;0.14;11.46;9.33;1.132933099;0.454414012;93.7;7917.00
2014-08;2.09825265;2.496099844;45.50;10.10;0.502400357;1.87;11.06;9.23;1.095196838;0.094584036;93.6;8017.00
2014-09;1.423861963;1.217656012;46.40;10.10;-2.121750722;2.10;10.91;9.43;-1.344456794;0.139687757;94.0;9447.00
2014-10;2.55186722;0.902255639;45.10;10.90;0;2.48;10.75;9.40;3.66280727;1.89956511;91.4;7869.00
2014-11;2.066895947;1.490312966;44.80;10.40;-3.665872205;-1.10;10.91;9.78;-0.25533085;0.181181302;90.9;8828.00
2014-12;1.764064616;1.762114537;44.60;10.80;4.759660697;2.42;11.01;10.17;-6.133781416;-0.442086649;90.2;12609.00
2015-01;3.755883785;2.597402597;43.40;11.90;5.476833108;1.78;11.01;9.79;-3.040389349;1.102050702;89.3;7293.00
2015-02;2.91283399;2.53164557;44.00;11.70;3.763727476;5.45;10.80;9.65;1.608971585;0.714713516;88.8;7702.00
2015-03;2.210196698;1.508916324;45.20;10.40;1.489930127;5.24;10.82;9.59;1.452896211;1.185379004;86.5;9808.00
2015-04;2.019631172;2.162162162;45.70;9.60;3.644831427;2.49;10.97;9.63;-0.197987939;1.629902441;87.4;10652.00
2015-05;2.128341934;1.984126984;46.80;8.90;-0.625183159;-0.08;11.49;10.47;7.994111668;0.562859015;86.8;10246.00
2015-06;1.170458763;1.945525292;47.30;9.60;0.412857564;2.08;11.87;10.57;3.890717193;-0.513705195;89.6;9760.00
2015-07;2.116312537;1.399491094;46.40;10.00;-3.749388155;-0.24;12.28;10.35;-3.102722223;0.088628569;88.2;7591.00
2015-08;-0.118820636;0.752823087;47.10;10.00;5.380390561;5.60;12.59;10.61;1.220605209;0.4004004;85.2;9070.00
2015-09;3.751452443;1.245330012;46.50;10.30;5.15394267;5.52;13.57;10.67;-0.191107147;0.893473426;82.2;7555.00
2015-10;1.957228948;1.59901599;46.20;10.50;-0.256998623;-2.44;14.30;10.67;2.530635691;1.554482916;86.0;9386.00
2015-11;2.521184224;2.300242131;46.00;10.20;-7.867856814;-1.99;14.13;11.17;-1.950574248;0.666167665;95.2;9803.00
2015-12;0.155612245;1.538461538;44.90;10.90;0.659208949;1.60;14.01;11.89;-1.070144085;0.208193918;93.3;13625.00
2016-01;-0.471205522;0.815850816;44.60;11.50;5.655884104;3.08;14.27;11.62;-3.919566645;1.817911998;91.9;7036.00
2016-02;0.417135838;1.502890173;44.90;11.00;7.231404959;-2.20;14.45;12.95;3.380818097;-0.021862702;89.7;8277.00
2016-03;1.460281862;0.911161731;45.80;10.10;1.418812401;-1.66;14.45;12.48;4.541028906;-0.040090386;89.9;10216.00
2016-04;1.828594394;1.015801354;47.30;9.10;-2.098445596;-1.97;14.33;11.67;1.947919918;0.783899078;91.2;8922.00
2016-05;1.731623088;1.005586592;47.70;9.00;6.218576343;3.24;13.96;11.16;-5.011142068;0.578829318;91.7;11221.00
2016-06;0.637699433;0.774336283;47.10;10.10;-0.199302441;-0.33;13.84;11.19;1.922345463;0.471189123;92.0;9880.00
2016-07;3.361040838;1.207464325;46.40;11.00;5.242136795;1.39;13.67;10.53;-7.652551999;1.163498371;89.7;5420.00
2016-08;1.682983683;0.976138829;47.30;11.00;1.138519924;0.18;12.86;10.99;2.50900772;-0.290183311;95.2;8174.00
2016-09;0.678556692;0.859291085;45.90;11.80;-0.836460288;-0.09;12.09;10.67;-3.177497768;0.181005111;94.8;7985.00
2016-10;-0.979097409;0.745473908;46.30;11.90;-1.056365786;3.64;12.12;10.39;-1.634910518;1.438339179;95.0;9996.00
2016-11;0.340323767;0.634249471;46.10;11.60;5.33025257;6.50;11.69;10.56;0.056185277;0.51688611;91.4;10721.00
2016-12;0.653130443;0.525210084;44.70;12.80;-1.285930408;6.78;11.42;10.64;1.026662261;1.643445329;87.0;12476.00
2017-01;-0.170761139;0.52246604;44.10;13.50;10.78927203;7.05;11.45;10.90;-1.698272527;2.461201887;88.4;7774.00
2017-02;0.672809378;1.975051975;45.20;12.90;0.760824457;-1.67;11.38;10.95;4.282895606;0.810702609;87.6;8514.00
2017-03;1.658322195;0.917431193;45.80;11.70;-0.089236683;-0.17;11.06;10.81;2.628081438;1.01598438;89.9;9972.00
2017-04;0.512557663;0.606060606;46.80;10.50;3.057368602;-0.33;11.28;12.33;4.908796794;1.30716813;92.0;9380.00
2017-05;1.088619382;-0.301204819;48.00;9.70;-4.386666667;-2.46;11.55;13.44;1.034289353;0.446269767;94.2;9129.00
2017-06;-0.061411589;0.402819738;47.40;10.40;-0.285873658;-1.26;11.72;13.42;1.149083937;-0.267216123;92.7;8656.00
2017-07;0.406004477;0.401203611;47.70;10.60;-0.517446332;1.16;12.02;13.05;-1.494686547;0.148492479;93.2;8526.00
2017-08;0.216388713;1.098901099;48.10;10.60;2.129753286;-1.33;12.49;13.27;2.366765112;0.518953069;93.5;9092.00
2017-09;-0.329334787;-0.098814229;47.70;10.40;1.459050241;-1.26;12.87;12.91;-0.02367982;0.650953984;92.0;12690.00
2017-10;1.22978621;0.59347181;47.60;10.50;2.943969611;5.60;13.05;12.98;-3.406170054;2.077226966;89.6;10321.00
2017-11;-0.514472234;0;47.50;10.00;5.712967844;5.92;13.12;13.23;0.648295784;1.491885144;87.4;9166.00
2017-12;1.338461204;0.491642085;46.70;10.30;-1.215483388;-0.81;13.52;13.83;2.766285254;0.685774033;87.8;11512.00
2018-01;2.135551791;-1.076320939;45.90;11.00;2.277889955;-1.96;14.14;13.31;2.995778116;1.020127669;92.4;7492.00
2018-02;1.081137819;0.791295747;46.30;10.80;0.351656487;0.15;14.68;13.41;-0.121134685;0.731670446;93.0;7507.00
2018-03;-0.888888889;0.196270854;47.60;9.80;2.207057666;2.72;14.79;13.62;-3.15696649;0.993486809;92.3;8774.00
2018-04;0.911529274;1.077375122;47.80;9.30;5.076691729;4.46;14.83;13.32;1.480968858;1.87232525;91.7;8063.00
2018-05;0.508752622;0.19379845;48.30;9.40;7.172705936;8.88;13.88;13.92;-4.86589667;1.622031624;90.9;9222.00
2018-06;-0.051650758;0;48.00;10.20;1.757290888;4.85;13.10;15.79;1.862793983;2.612390193;91.1;9923.00
2018-07;-0.057878744;-1.063829787;48.50;10.70;0.593144717;2.59;16.86;17.87;-0.735874191;0.55114145;92.9;9089.00
2018-08;0.986576765;-0.879765396;48.00;11.10;21.86912962;20.69;18.99;16.96;-5.44638654;2.295428619;88.7;6981.00
2018-09;2.177118748;0.197238659;48.10;11.40;3.699421965;11.11;25.18;22.73;1.52123414;6.304738073;81.1;9501.00
2018-10;2.695985087;-0.590551181;47.10;11.70;-4.529501631;-7.97;28.95;25.36;2.321252962;2.668611196;78.4;13978.00
2018-11;-1.266736933;0.693069307;46.70;12.00;-7.936164692;-8.29;28.63;25.55;-0.037355083;-1.442918733;80.9;6977.00
2018-12;0.549570031;0.786627335;45.30;13.30;1.705266125;-1.25;27.82;23.61;1.987906365;-0.40457166;79.7;13723.00
2019-01;-3.658848279;-1.56097561;43.60;15.10;4.073903002;1.19;26.22;21.42;3.085516195;1.063775769;80.1;6019.00
2019-02;-4.050855067;-1.7839445;44.70;15.00;-0.168649032;-2.00;22.98;20.14;2.38048047;0.160775743;78.8;6365.00
2019-03;-1.001765319;0.504540868;45.90;13.90;3.076375922;3.42;18.16;19.13;7.050830543;1.02831632;81.1;8453.00
2019-04;-0.483392773;0.200803213;45.60;12.90;3.247649444;5.40;17.70;19.40;-0.834627361;1.693105931;83.6;7057.00
2019-05;0.790138382;-1.703406814;46.30;12.50;4.774635532;5.47;20.45;21.11;1.466849143;0.949637478;77.0;7363.00
2019-06;0.145650824;-0.101936799;46.10;13.40;3.460649071;-3.93;21.81;21.70;1.34430718;0.02660089;80.1;3813.00
2019-07;0.322960111;1.632653061;46.60;14.10;-0.050096339;-2.40;21.06;21.07;0.61456212;1.356284602;78.9;6709.00
2019-08;0.157762333;1.907630522;46.10;14.20;3.16921772;-0.84;14.15;16.14;1.241225088;0.858696689;79.6;6001.00
2019-09;1.047254151;1.379310345;46.10;14.00;3.557681528;1.56;12.98;14.30;2.498636035;0.993283511;77.6;8347.00
2019-10;1.308139535;1.846452867;46.00;13.30;1.078993901;1.26;13.12;11.79;0.478283137;2.002154365;78.2;8988.00
2019-11;1.798598549;2.194656489;45.70;12.90;-2.074259193;-0.92;12.96;10.71;-0.441426129;0.381092312;81.2;8494.00
2019-12;0.868091017;1.960784314;44.80;13.60;1.986948121;1.86;12.69;10.25;-0.060280729;0.743281875;80.5;14772.00
2020-01;2.391511249;3.205128205;43.50;14.10;6.49531708;1.38;11.88;9.04;0.463584333;1.350737798;81.1;6599.00
2020-02;1.550510244;2.30700976;43.60;13.50;5.84404686;2.13;11.43;8.45;2.66992562;0.35166312;79.3;7326.00
2020-03;1.72158604;1.127493495;41.90;13.00;4.861727769;4.47;11.40;9.09;-1.151575261;0.571403062;81.0;6439.00
2020-04;0.616480319;0.600343053;40.30;12.80;12.78088613;7.99;11.72;8.73;-1.421379188;0.854454259;78.2;2022.00
2020-05;3.07873806;5.797101449;41.00;12.60;3.727440937;1.95;11.23;7.72;2.868487535;1.362145985;82.9;2546.00
2020-06;2.073026656;3.062046737;43.00;13.00;-1.026343683;-2.06;9.30;7.69;1.000391586;1.133255178;83.0;8253.00
2020-07;1.318383217;0.938232995;43.00;14.60;8.089541323;0.62;9.11;7.82;5.294130737;0.583891465;82.8;10429.00
2020-08;2.793445666;1.316808675;43.80;13.00;13.97259612;5.85;11.09;8.92;2.324112343;0.86435035;79.8;8103.00
2020-09;3.828856205;1.987767584;44.00;12.40;-0.852363081;3.52;14.16;10.66;-0.057374058;0.973318381;81.9;7099.00
2020-10;3.570592367;1.724137931;43.60;12.80;4.544385278;4.88;15.07;10.60;1.512972833;2.131137235;81.5;6401.00
2020-11;2.987291899;1.842299189;42.40;12.90;-2.049666571;1.64;15.68;12.17;3.139823533;2.298001559;80.0;6177.00
2020-12;1.621223287;0.289435601;41.70;13.00;-3.366468967;-3.53;18.19;15.96;3.369972818;1.249548718;79.8;6391.00
2021-01;-3.395923657;1.948051948;42.90;13.40;-2.939142462;-4.24;18.39;16.23;-0.255748832;1.681820883;82.9;3746.00
2021-02;0.776209033;5.024769993;42.90;14.10;-7.897666548;-4.35;17.99;16.51;-0.883015355;0.907851159;84.1;4510.00
2021-03;2.065041681;1.819407008;44.00;13.10;2.352230146;7.86;17.74;17.65;-3.997422984;1.075372616;86.6;6317.00
2021-04;1.18165867;1.522170748;44.20;12.90;9.672162124;6.91;18.13;18.12;0.517728629;1.678986878;80.3;5232.00
2021-05;2.435468525;1.49934811;43.80;12.40;7.953395215;2.30;17.84;17.98;1.428652125;0.88856327;77.5;3153.00
2021-06;1.872687231;2.569043031;45.90;10.40;2.144595619;3.05;17.90;18.07;-0.659886256;1.942091053;82.0;6772.00
2021-07;2.106207444;3.694427051;45.80;12.10;-2.238237534;0.19;17.93;18.01;2.256786494;1.804632133;80.1;4854.00
2021-08;4.707393794;6.400966184;46.20;12.00;-2.12366397;-1.59;17.86;17.67;1.964066862;1.119563657;78.5;6375.00
2021-09;3.488602413;5.505107832;47.20;11.10;-3.945542129;0.43;17.90;18.60;-0.438067271;1.252661462;79.6;7508.00
2021-10;8.587799957;8.552985476;47.20;10.70;10.80558448;7.38;17.82;16.62;-0.977071541;2.393719553;76.5;6672.00
2021-11;12.05676103;10.0099108;46.40;10.90;21.61130715;15.13;17.10;14.84;-0.338179935;3.51177437;70.8;8314.00
2021-12;10.26086083;7.117117117;46.00;11.30;28.93413023;28.56;17.31;15.61;2.151616254;13.57549104;68.5;11698.00
2022-01;16.73373595;15.7275021;45.40;12.10;-2.717677132;-0.07;18.25;18.19;-3.757538382;11.10415605;72.7;3984.00
