Date;Sold
2013-01; 87 444
2013-02; 88 519
2013-03; 97 956
2013-04; 95 381
2013-05; 103 261
2013-06; 96 424
2013-07; 106 636
2013-08; 84 480
2013-09; 102 280
2013-10; 76 344
2013-11; 102 681
2013-12; 115 784
2014-01; 87 639
2014-02; 82 597
2014-03; 87 617
2014-04; 83 610
2014-05; 90 377
2014-06; 92 936
2014-07; 85 101
2014-08; 105 624
2014-09; 115 786
2014-10; 95 645
2014-11;103 783
2014-12; 134 666
2015-01; 86 167
2015-02; 95 021
2015-03; 116 030
2015-04;119 317
2015-05;107 888
2015-06;110 657
2015-07;96 589
2015-08;112 463
2015-09;92 483
2015-10;104 098
2015-11;106 008
2015-12;142 599
2016-01; 84 556
2016-02; 101 703
2016-03;117 205
2016-04;106 348
2016-05;114 800
2016-06;106 187
2016-07;81 343
2016-08;114 751
2016-09;108 918
2016-10;130 274
2016-11;132 655
2016-12;142 713
2017-01;95 389
2017-02;101 468
2017-03;128 923
2017-04;114 446
2017-05;116 558
2017-06;97 579
2017-07;115 869
2017-08;120 198
2017-09;140 298
2017-10;122 882
2017-11;122 732
2017-12;132 972
2018-01; 97 019
2018-02; 95 953
2018-03; 110 905
2018-04; 103 087
2018-05; 119 655
2018-06; 119 413
2018-07; 123 878
2018-08; 105 154
2018-09; 127 327
2018-10; 146 536
2018-11; 89 626
2018-12; 136 845
2019-01; 72 937
2019-02; 78 450
2019-03; 105 046
2019-04; 96 071
2019-05; 91 937
2019-06; 61 355
2019-07; 102 236
2019-08; 110 538
2019-09; 146 903
2019-10; 142 810
2019-11; 138 372
2019-12; 202 074
2020-01; 113 615
2020-02; 118 753
2020-03; 108 670
2020-04; 42 783
2020-05; 50 936
2020-06; 190 012
2020-07; 229 357
2020-08; 170 408
2020-09; 136 744
2020-10; 119 574
2020-11; 112 483
2020-12; 105 981
2021-01; 70 587
2021-02; 81 222
2021-03; 111 241
2021-04; 95 863
2021-05; 59 166
2021-06;134 731
2021-07;107 785
2021-08;141 400
2021-09; 147 143
2021-10;137 401
2021-11;178 814
2021-12;226 503
